timestamp,pergunta,modelo,tokens_prompt,tokens_resposta,tokens_total,latencia_s,tokens_por_segundo,sucesso
2026-03-01 00:11:06,Onde devo investir o meu dinheiro? ,Qwen3-32B - Alibaba Cloud,372,564,936,1.57,359.2,True
2026-03-01 00:37:24,olá,GPT OSS 120B,354,314,668,0.89,353.9,True
2026-03-01 00:37:25,olá,GPT OSS 20B,354,173,527,0.92,188.3,True
2026-03-01 00:37:26,olá,LLaMA 70B VERSATILE,387,253,640,0.93,272.5,True
2026-03-01 00:37:31,olá,Kimi K2 - Moonshot AI,399,72,471,4.5,16.0,True
2026-03-01 00:37:32,olá,Qwen3-32B - Alibaba Cloud,363,344,707,1.45,237.3,True
2026-03-01 00:46:02,me indique um investimento!,GPT OSS 120B,357,271,628,1.06,256.8,True
2026-03-01 00:46:02,me indique um investimento!,GPT OSS 20B,357,179,536,0.46,387.9,True
2026-03-01 00:46:03,me indique um investimento!,LLaMA 70B VERSATILE,392,264,656,0.98,269.4,True
2026-03-01 00:46:06,me indique um investimento!,Kimi K2 - Moonshot AI,404,255,659,2.7,94.6,True
2026-03-01 00:46:07,me indique um investimento!,Qwen3-32B - Alibaba Cloud,368,437,805,1.23,354.2,True
2026-03-02 00:40:25,olá,GPT OSS 120B,354,251,605,0.8,312.9,True
2026-03-02 00:40:27,olá,GPT OSS 20B,354,169,523,1.82,92.8,True
2026-03-02 00:40:27,olá,LLaMA 70B VERSATILE,387,241,628,0.85,283.7,True
2026-03-02 00:40:28,olá,Kimi K2 - Moonshot AI,399,178,577,0.85,210.2,True
2026-03-02 00:40:30,olá,Qwen3-32B - Alibaba Cloud,363,394,757,1.87,210.8,True
2026-03-02 01:06:44,qual investimento você me recomendaria?,GPT OSS 120B,359,296,655,1.67,177.3,True
2026-03-02 01:06:45,qual investimento você me recomendaria?,GPT OSS 20B,359,364,723,0.6,603.2,True
2026-03-02 01:06:46,qual investimento você me recomendaria?,LLaMA 70B VERSATILE,394,324,718,1.14,283.0,True
2026-03-02 01:06:47,qual investimento você me recomendaria?,Kimi K2 - Moonshot AI,406,305,711,1.49,204.9,True
2026-03-02 01:06:49,qual investimento você me recomendaria?,Qwen3-32B - Alibaba Cloud,370,322,692,1.44,222.9,True
2026-03-02 01:12:14,qual investimento você me recomendaria?,GPT OSS 120B,359,284,643,0.85,336.1,True
2026-03-02 01:12:15,qual investimento você me recomendaria?,GPT OSS 20B,359,349,708,0.6,580.0,True
2026-03-02 01:12:16,qual investimento você me recomendaria?,LLaMA 70B VERSATILE,394,257,651,1.08,238.1,True
2026-03-02 01:12:18,qual investimento você me recomendaria?,Kimi K2 - Moonshot AI,406,302,708,1.48,204.5,True
2026-03-02 01:12:19,qual investimento você me recomendaria?,Qwen3-32B - Alibaba Cloud,370,331,701,1.5,220.7,True
2026-03-03 16:52:23,"olá, qual investimento você me indicaria?",GPT OSS 120B,362,281,643,1.05,266.9,True
2026-03-03 16:52:26,"olá, qual investimento você me indicaria?",GPT OSS 20B,362,209,571,2.88,72.7,True
2026-03-03 16:52:27,"olá, qual investimento você me indicaria?",LLaMA 70B VERSATILE,396,272,668,1.34,202.6,True
2026-03-03 16:52:28,"olá, qual investimento você me indicaria?",Kimi K2 - Moonshot AI,408,236,644,1.35,175.3,True
2026-03-03 16:52:31,"olá, qual investimento você me indicaria?",Qwen3-32B - Alibaba Cloud,372,533,905,2.53,210.5,True
2026-03-04 00:52:14,Qual investimento me recomendaria?,GPT OSS 120B,358,222,580,0.74,298.9,True
2026-03-04 00:52:14,Qual investimento me recomendaria?,GPT OSS 20B,358,130,488,0.34,387.6,True
2026-03-04 00:52:15,Qual investimento me recomendaria?,LLaMA 70B VERSATILE,393,262,655,1.21,217.3,True
2026-03-04 00:52:17,Qual investimento me recomendaria?,Kimi K2 - Moonshot AI,405,350,755,1.84,190.1,True
2026-03-04 00:52:18,Qual investimento me recomendaria?,Qwen3-32B - Alibaba Cloud,369,425,794,1.21,350.2,True
2026-03-04 01:15:09,qual investimento me sugere,GPT OSS 120B,357,223,580,1.54,144.8,True
2026-03-04 01:15:10,qual investimento me sugere,GPT OSS 20B,357,340,697,0.54,627.0,True
2026-03-04 01:15:11,qual investimento me sugere,LLaMA 70B VERSATILE,391,262,653,1.09,239.6,True
2026-03-04 01:15:12,qual investimento me sugere,Kimi K2 - Moonshot AI,403,266,669,1.3,204.1,True
2026-03-04 01:15:15,qual investimento me sugere,Qwen3-32B - Alibaba Cloud,367,466,833,2.18,214.1,True
2026-03-04 01:17:44,qual investimento me sugere,GPT OSS 120B,357,223,580,1.47,151.7,True
2026-03-04 01:17:44,qual investimento me sugere,GPT OSS 20B,357,188,545,0.38,496.1,True
2026-03-04 01:17:45,qual investimento me sugere,LLaMA 70B VERSATILE,391,298,689,1.23,243.2,True
2026-03-04 01:17:49,qual investimento me sugere,Kimi K2 - Moonshot AI,403,326,729,3.65,89.4,True
2026-03-04 01:17:50,qual investimento me sugere,Qwen3-32B - Alibaba Cloud,367,380,747,1.17,326.0,True
2026-03-04 01:19:38,qual investimento me sugere,GPT OSS 120B,357,254,611,0.77,329.0,True
2026-03-04 01:19:39,qual investimento me sugere,GPT OSS 20B,357,308,665,0.53,580.8,True
2026-03-04 01:19:40,qual investimento me sugere,LLaMA 70B VERSATILE,391,324,715,1.29,251.5,True
2026-03-04 01:19:44,qual investimento me sugere,Kimi K2 - Moonshot AI,403,328,731,3.5,93.7,True
2026-03-04 01:19:45,qual investimento me sugere,Qwen3-32B - Alibaba Cloud,367,372,739,1.69,220.5,True
2026-03-04 13:56:06,Quais investimentos você me recomendaria?,GPT OSS 120B,360,273,633,0.92,296.4,True
2026-03-04 13:56:07,Quais investimentos você me recomendaria?,GPT OSS 20B,360,300,660,0.57,525.5,True
2026-03-04 13:56:09,Quais investimentos você me recomendaria?,LLaMA 70B VERSATILE,395,371,766,1.5,247.2,True
2026-03-04 13:56:12,Quais investimentos você me recomendaria?,Kimi K2 - Moonshot AI,408,371,779,3.33,111.3,True
2026-03-04 13:56:14,Quais investimentos você me recomendaria?,Qwen3-32B - Alibaba Cloud,371,428,799,2.0,213.6,True
